buffId	buffName	BuffIcon	type	info	icon	EffectId	soundId	buffCategory	buffCategoryInfo	swoon	freeze	superArmor	TriggerRatio	liftTime	interval	movePoint	AttackSpeed	bodyScale	shieldHpValue	hpValue	hpPer	AttackPer	
1	冰盾	1001	0	增加200生命值,抵挡伤害	1001	110001	0	0	0	0	0	-1	10000	20000	0	-1	-1	-1	200	0	0	0
2	冰盾碎裂	1002	1	冰盾碎裂	1002	110002	0	0	0	0	0	-1	10000	1500	0	-1	-1	-1	0	0	0	0
3	BOSS自身眩晕	1003	0	眩晕5秒	1003	110005	0	1	0	1	0	-1	10000	5000	0	-1	-1	-1	0	0	0	0
4	减速	1004	1	减速5秒,减速50%	1004	110008	0	3	0	0	0	-1	10000	5000	0	50	-1	-1	0	0	0	0
5	霸体	1013	0	召唤兽的主人霸体	1013	110021	0	9	0	0	0	4	10000	15000	0	-1	-1	-1	0	0	0	0
6	加血	1011	0	召唤兽的主人加血	1011	110022	0	0	0	0	0	-1	10000	10000	800	-1	-1	-1	0	0	1000	0
7	生存副本扣血buff（毒）	1002	1	持续中毒,每秒1%	1002	110007	0	4	0	0	0	-1	10000	150000	1000	-1	-1	-1	0	0	-100	0
8	镜子怪眩晕	1003	1	眩晕3秒	1003	110005	0	1	0	1	0	-1	10000	3000	0	-1	-1	-1	0	0	0	0
9	方尖塔加血	1011	0	加血	1011	110039	0	10	0	0	0	-1	10000	10000	1000	-1	-1	-1	0	0	200	0
10	方尖塔加防御	1010	0	加防御	1010	110038	0	5	0	0	0	-1	10000	10000	0	-1	-1	-1	0	0	0	0
11	方尖塔加攻击	1015	0	加攻击	1015	110035	0	5	0	0	0	-1	10000	10000	0	-1	-1	-1	0	0	0	3000
12	方尖塔加霸体	1013	0	加霸体	1013	110021	0	9	0	0	0	6	10000	10000	0	-1	-1	-1	0	0	0	0
13	生存副本扣血buff（火）	1023	1	持续灼烧,每秒1%	1023	110042	0	11	0	0	0	-1	10000	150000	1000	-1	-1	-1	0	0	-100	0
14	生存副本扣血buff（冰）	1024	1	持续冻伤,每秒1%	1024	110043	0	4	0	0	0	-1	10000	150000	1000	-1	-1	-1	0	0	-100	0
15	逃亡副本扣血buff（火）	1023	1	持续灼烧,每秒10%	1023	110042	0	11	0	0	0	-1	10000	5000	1000	-1	-1	-1	0	0	-1000	0
16	女一技能	1004	1	减速8秒,减速50%	1004	110008	0	3	0	0	0	-1	10000	8000	0	50	-1	-1	0	0	0	0
17	03_JYG05技能3灼烧	1023	1	持续灼烧,每秒1%	1023	110042	0	11	0	0	0	-1	10000	5000	1000	-1	-1	-1	0	0	-100	0
18	世界BOSS普攻	0	1	瞬间中毒	0	0	0	0	0	0	0	-1	10000	1000	1000	-1	-1	-1	0	0	-1000	0
19	世界BOSS技能01	0	1	瞬间中毒	0	0	0	0	0	0	0	-1	10000	1000	1000	-1	-1	-1	0	0	-1000	0
20	世界BOSS技能02	0	1	瞬间中毒	0	0	0	0	0	0	0	-1	10000	1000	1000	-1	-1	-1	0	0	-250	0
21	世界BOSS技能03	0	1	瞬间中毒	0	0	0	0	0	0	0	-1	10000	1000	1000	-1	-1	-1	0	0	-120	0
22	世界BOSS技能04	0	1	瞬间中毒	0	0	0	0	0	0	0	-1	10000	1000	1000	-1	-1	-1	0	0	-70	0
23	20级以下副本精英怪加血	1011	0	副本精英怪解穴	1011	110039	0	10	0	0	0	-1	10000	2000	1000	-1	-1	-1	0	0	200	0
