CharId	CharModelID	Level	Live	Attack	Dps	name	dialogid	
1	1	1	2500	76	45	冰法	
2	2	1	2640	55	50	男刀	
3	3	1	2880	60	54	贱人	
4	4	1	3180	66	60	嗖嗖嗖	
10	10	1	1000	0	0	前台	
11	11	1	1000	0	0	仓库管专职理员	103
12	12	1	1000	0	0	铁匠铺老板	101
13	13	1	1000	0	0	女战士	102
14	14	1	1000	0	0	幻屋老板	104
15	15	1	1000	0	0	镇长姐姐	105
16	16	1	1000	0	0	村姑	
17	17	1	1000	0	0	交易所老板	
20	20	1	1111	0	0	登录场景专用冰法	
40001	40000	1	300	120	80	BOSS02	
40002	40000	2	300	132	88	BOSS02	
40003	40000	3	20000	145	96	BOSS02	
40004	40000	4	20000	159	106	BOSS02	
40005	40000	5	20000	175	116	BOSS02	
40006	40000	6	20000	192	128	BOSS02	
40007	40000	7	20000	211	140	BOSS02	
40008	40000	8	20000	231	154	BOSS02	
40009	40000	9	20000	254	169	BOSS02	
40010	40000	10	20000	279	186	BOSS02	
50001	50000	1	25000	120	80	BOSS01	
50002	50000	2	25000	132	88	BOSS01	
50003	50000	3	25000	145	96	BOSS01	
50004	50000	4	25000	159	106	BOSS01	
50005	50000	5	25000	175	116	BOSS01	
50006	50000	6	25000	192	128	BOSS01	
50007	50000	7	25000	211	140	BOSS01	
50008	50000	8	25000	231	154	BOSS01	
50009	50000	9	25000	254	169	BOSS01	
50010	50000	10	25000	279	186	BOSS01	
60001	60000	1	2000	120	80	bingfa	
60002	60000	2	2200	132	88	bingfa	
60003	60000	3	2420	145	96	bingfa	
60004	60000	4	2660	159	106	bingfa	
60005	60000	5	2920	175	116	bingfa	
60006	60000	6	3200	192	128	bingfa	
60007	60000	7	3520	211	140	bingfa	
60008	60000	8	3860	231	154	bingfa	
60009	60000	9	4240	254	169	bingfa	
60010	60000	10	4660	279	186	bingfa	
