Id	ConfigName	ConfigValue	Description	SubordinateModule	
12	LoadingMessageRandomTime	2	加载界面文字提示更换时间	加载界面
13	VersusModeOpenLevel	1	对战模式开启等级	系统开启
14	AthleticsModeOpenLevel	10	竞技模式开启等级	系统开启
15	ItemBackPackGridMax	200	物品背包格子数上限	背包
16	EquipChipPackGridMax	200	装备碎片背包格子数上限	背包
35	SkillLevelMax	10	技能等级上限	技能
36	MaxLevel	20	角色最大等级	角色升级
1001	clanapplymax	5	可同时申请加入氏族数量	氏族
1002	clancreatlevel	10	创建氏族角色等级	氏族
1003	clancreatcost	5000	创建氏族需要金币数量	氏族
1004	clanmemberbase	9	氏族人数基础数量	氏族
1005	clanmemberbylevel	1	氏族人数随等级增加值	氏族
1006	chatinterval	5	聊天频道发言时间间隔秒数	聊天
1007	advancecostbase	100	进阶消耗基础值	装备进阶
1008	advancecostperlevel	20	进阶消耗等级参数	装备进阶
1009	advancecostperquality	600	进阶消耗品级参数	装备进阶
1010	advancematerialreduce	10	进阶材料概率递减百分比	装备进阶
1011	setcostbase	1000	镶嵌消耗基础值	装备镶嵌
1012	setcostperquality	500	镶嵌消耗品级参数	装备镶嵌
1013	setpart1level	1	镶嵌卡槽1开启等级	装备镶嵌
1014	setpart2level	10	镶嵌卡槽2开启等级	装备镶嵌
1015	setpart3level	20	镶嵌卡槽3开启等级	装备镶嵌
1016	blesscostbase	180	消耗=(180+等级^1.5)*(1+品级/3)	装备祝福
1017	blesscostperlevel	1.5	消耗=(180+等级^1.5)*(1+品级/3)	装备祝福
1018	blesscostperquality	3	消耗=(180+等级^1.5)*(1+品级/3)	装备祝福
1019	blessmaterial2level	1.2	材料2祝福成功率等级参数	装备祝福
1020	blessmaterial2quality	1.5	材料2祝福成功率品级参数	装备祝福
1021	blessmaterial2blesslevel	1.2	材料2祝福成功率祝福等级参数	装备祝福
1022	blessmaterial1baserate	0.01	材料1成功率=0.01+材料2成功率*1.05	装备祝福
1023	blessmaterial1addrate	1.05	材料1成功率=0.01+材料2成功率*1.05	装备祝福
1024	blessinvalid	0.82	祝福无效概率	装备祝福
1025	blessfail	0.18	祝福失败概率	装备祝福
1026	blesslevelforaddpro	16	达到此祝福等级后祝福额外增加属性	装备祝福
1027	blesslevelmax	20	装备最高祝福等级	装备祝福
