dropid	goodsid	num	addProbability	numberlimit	
10001	11001,11002,11003,11004,11005	1,1,1,1,1	10,20,30,20,20	1,1,1,1,1
10002	14001,14008,14015,14022,14029	1,1,1,1,1	10,20,30,20,20	1,1,1,1,2
10003	11001,11002	1,1	50,50	1,1
10004	11003,11004	1,1	50,50	1,1
10005	11005,11006	1,1	50,50	1,1
10006	11007,11008	1,1	50,50	1,1
10007	11009,11010	1,1	50,50	1,1
10008	11011,11012	1,1	50,50	1,1
10009	11013,11014	1,1	80,20	1,1
10010	11015,11016	1,1	20,80	1,1
10011	11009,11010,11011,11012,11013,11014,11015,11016	1,1,1,1,1,1,1,1	20,20,20,20,20,20,20,20	1,1,1,1,1,1,1,1
