EffectId	EffectUrl	EffSize	LifeTime	
110001	bingfa@Skill04_01	1	20
110002	bingfa@Skill04_02	1	1.5
110003	HS_ShouJIDao01	.6	.2
110004	HS_ShouJIDao01	.7	.3
110005	Buff_Yun	1	5
110006	Buff_Yun	1	2.5
110007	HS_ShouJi_03	1	1
110008	HS_ShouJi_04	1	1
110009	WYF_ShouJi_bingdong01	1	3
110010	WYF_ShouJi_huoyan01	1	1
110011	WYF_ShouJi_shandian01	.5	1
110012	02_JYG03@Skill_01_03	1	1
110013	01_JYG04@Skill_03_3	1	1
110014	yinnv@Attack_02_3	1	.4
110015	HS_02_XG5_02@Skill_01_03	1	2
110016	HS_03_JYG02@Attack_01_3	1	1
110017	HS_04_JYG03@Skill_02_5	1	.7
110018	HS_Loli_1	1	1
110019	HS_04_JYG02@Attack_01_3	1	.6
110020	Jiaxue	1	1.8
110021	HS_HJ_02	1	1.5
110022	00_Wood@Skill_01_2	1	1.5
110023	HS_B_JIzhong	1	1.5
110024	00_Wood@Skill_01_3	1	5
110025	00_Wood@Skill_01_3	1	6
110026	00_Wood@Skill_01_3	1	7
110027	00_Wood@Skill_01_3	1	8
110028	00_Wood@Skill_01_3	1	9
110029	00_Wood@Skill_01_3	1	10
110030	00_Wood@Skill_01_3	1	11
110031	00_Wood@Skill_01_3	1	12
110032	00_Wood@Skill_01_3	1	13
110033	00_Wood@Skill_01_3	1	14
110034	00_Wood@Skill_01_3	1	15
110035	Gj_Buff_02	1	5
110036	Gj_Buff_01	1	1.2
110037	Hj_Buff_01	1	1.2
110038	Hj_Buff_02	1	5
110039	00_Wood@Skill_01_3	1	2
110040	JY_KB02	1	600
110041	JY_BT02	1	600
110042	zt_huo_01	1	1
110043	zt_bing_01	1	1
110044	02_JYG08@Skill_03_4	1	1
110045	02_XG2_03@Skill_03_2	1	4
110046	HS_jianfang	1	1
110047	HS_jiangong	1	1
110048	HS_jianpojia	1	1
110049	Boss_Skill03	1	10000
110050	Boss_Skill08_Glow	1	10000
