ItemId	Name	MasterType	SonType	bagtype	Icon	NeedGrades	ItemLevel	ItemOrder	Job	MaxCount	Quality	BaseProperty	BaseValue	AddProperty1	AddValue1	AddProperty2	AddValue2	AddProperty3	AddValue3	AddProperty4	AddValue4	SellGold	Description	
1	金币	4	1	0	icon1_1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	星刃里的重要资源，可用于装备强化和魔化等。
2	钻石	4	2	0	icon1_2	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	高富帅和白富美居家旅行必备之物，是最珍贵最通用的货币。
3	经验	4	3	0	icon1_3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	高富帅和白富美居家旅行必备之物，是最珍贵最通用的货币。
20001	回气丹	2	0	3	icon4_3	1	1	2001	0	99	1	0	0	0	0	0	0	0	0	0	0	100	回气丹，生命恢复
20002	还灵液	2	0	3	icon4_2	1	1	2002	0	99	1	0	0	0	0	0	0	0	0	0	0	200	还灵液，法力恢复
20003	还魂丹	2	0	3	icon4_1	1	1	2003	0	99	1	0	0	0	0	0	0	0	0	0	0	300	还魂丹，可起死回生
20004	力量药剂	2	0	3	icon4_5	1	1	2004	0	99	1	0	0	0	0	0	0	0	0	0	0	400	力量药剂，增加力量
20005	高级力量药	2	0	3	icon4_11	1	1	2005	0	99	1	0	0	0	0	0	0	0	0	0	0	500	高级力量药，大幅增加力量
11001	蛮牛头盔	1	1	1	equip_icon_4	1	1	1001	0	1	1	8	8	1	2	0	0	0	0	0	0	600	蛮牛头盔
11002	蛮牛战甲	1	2	1	equip_icon_8	1	1	1002	0	1	1	8	16	2	4	0	0	0	0	0	0	700	蛮牛战甲
11003	蛮牛战裙	1	3	1	equip_icon_7	1	1	1003	0	1	1	8	12	3	3	0	0	0	0	0	0	800	蛮牛战裙
11004	珍珠项链	1	4	1	equip_icon_5	1	1	1004	0	1	1	8	40	4	1	0	0	0	0	0	0	900	珍珠项链
11005	蛮牛护腕	1	5	1	equip_icon_3	1	1	1005	0	1	1	8	2	5	2	0	0	0	0	0	0	1000	蛮牛护腕
11006	琉璃戒指	1	6	1	equip_icon_6	1	1	1006	0	1	1	8	25	6	1	0	0	0	0	0	0	1100	琉璃戒指
