jobid	jobname	level	hp	mp	str	agi	vit	int	dex	luk	atk	def	matk	mdef	aspeed	mcold	hit	dog	
1	男战士	1	126	50	2	2	1	1	1	1	16	10	12	8	1.2	1	135	38
1	男战士	2	132	60	3	3	2	1	1	1	18	11	14	8	1.2	1	137	40
1	男战士	3	144	65	4	3	2	1	1	1	21	12	16	9	1.2	1	139	42
1	男战士	4	156	70	5	4	3	1	2	1	24	13	18	10	1.2	1	141	44
1	男战士	5	174	75	6	5	3	1	2	1	26	13	20	10	1.2	1	143	46
1	男战士	6	195	80	7	6	4	1	2	2	29	14	22	11	1.2	1	145	48
1	男战士	7	222	85	8	6	4	1	2	2	31	15	23	11	1.2	1	147	50
1	男战士	8	249	90	9	7	5	1	2	2	34	16	26	12	1.2	1	149	52
1	男战士	9	282	95	10	8	5	1	3	2	37	17	28	13	1.2	1	151	54
1	男战士	10	318	100	11	8	6	1	3	2	39	17	29	13	1.2	1	153	56
1	男战士	11	357	110	12	9	6	1	3	2	42	18	32	14	1.2	1	155	58
1	男战士	12	402	120	13	10	7	1	3	2	45	19	34	14	1.2	1	157	60
1	男战士	13	450	130	14	10	7	1	3	2	47	20	35	15	1.2	1	159	62
1	男战士	14	501	140	15	11	8	1	4	2	50	20	38	15	1.2	1	161	64
1	男战士	15	558	150	16	12	8	1	4	2	53	21	40	16	1.2	1	163	66
1	男战士	16	618	160	17	13	9	1	4	3	55	22	41	17	1.2	1	165	68
1	男战士	17	681	170	18	13	9	1	4	3	58	23	44	17	1.2	1	167	70
1	男战士	18	750	180	19	14	10	1	4	3	61	24	46	18	1.2	1	169	72
1	男战士	19	822	190	20	15	10	1	5	3	63	24	47	18	1.2	1	171	74
1	男战士	20	897	200	21	15	11	1	5	3	66	25	50	19	1.2	1	173	76
2	女战士	1	220	50	10	8	5	1	3	2	25	16	3	5	1	1	135	38
3	男法师	1	175	85	1	4	5	10	6	3	8	10	21	8	1	1	126	22
4	女法师	1	107	70	1	1	2	2	2	1	13	8	19	11	1	1.2	126	22
4	女法师	2	112	84	1	1	2	3	3	1	14	9	22	12	1	1.2	137	40
4	女法师	3	122	91	1	1	2	4	3	1	17	10	25	13	1	1.2	139	42
4	女法师	4	133	98	1	2	3	5	4	1	19	10	29	14	1	1.2	141	44
4	女法师	5	148	105	1	2	3	6	5	1	21	10	31	14	1	1.2	143	46
4	女法师	6	166	112	1	2	4	7	6	2	23	11	35	15	1	1.2	145	48
4	女法师	7	189	119	1	2	4	8	6	2	25	12	37	17	1	1.2	147	50
4	女法师	8	212	126	1	2	5	9	7	2	27	13	41	18	1	1.2	149	52
4	女法师	9	240	133	1	3	5	10	8	2	30	14	44	19	1	1.2	151	54
4	女法师	10	270	140	1	3	6	11	8	2	31	14	47	19	1	1.2	153	56
4	女法师	11	303	154	1	3	6	12	9	2	34	14	50	20	1	1.2	155	58
4	女法师	12	342	168	1	3	7	13	10	2	36	15	54	21	1	1.2	157	60
4	女法师	13	383	182	1	3	7	14	10	2	38	16	56	22	1	1.2	159	62
4	女法师	14	426	196	1	4	8	15	11	2	40	16	60	22	1	1.2	161	64
4	女法师	15	474	210	1	4	8	16	12	2	42	17	64	23	1	1.2	163	66
4	女法师	16	525	224	1	4	9	17	13	3	44	18	66	24	1	1.2	165	68
4	女法师	17	579	238	1	4	9	18	13	3	46	18	70	25	1	1.2	167	70
4	女法师	18	638	252	1	4	10	19	14	3	49	19	73	26	1	1.2	169	72
4	女法师	19	699	266	1	5	10	20	15	3	50	19	76	26	1	1.2	171	74
4	女法师	20	762	280	1	5	11	21	15	3	53	20	79	28	1	1.2	173	76
5	男幻师	1	220	50	10	8	5	1	3	2	25	16	3	5	1.2	.2	135	38
6	女幻师	1	220	50	10	8	5	1	3	2	25	16	3	5	1.2	.2	135	38
7	男拳师	1	175	85	1	4	5	10	6	3	8	10	21	8	1	.3	126	22
8	女拳师	1	175	85	1	4	5	10	6	3	8	10	21	8	1	.3	126	22
