MessageID	Info	position	SubordinateModule	
1010	该角色已经存在您的好友列表中		重复添加好友提示
1011	该角色名不存在，请重新输入		查找好友角色名错误
1012	您的好友人数已满		好友满提示
1013	对方已有其他队伍，不能加入你的队伍		好友组队提示
1014	你们已经在同一队伍中		好友组队提示
1015	对方队伍已满，不能加入新的成员		好友组队提示
1016	您的队伍已满，不能邀请新的成员		好友组队提示
1017	您不是队长，不能发起入侵		队员入侵提示
1018	背包已满，自动领取中止		邮件全部领取提背包满提示
1019	该氏族名不存在，请重新输入		查找氏族名错误
1020	您已经向5个其他氏族发起了申请，请耐心等待审批，或取消后申请其他氏族！		申请加入氏族上限
1021	该角色已经加入其他氏族		审批成员时对方已加入其他
1022	该角色已经在您的氏族中		审批成员时对方已加入自己
1023	操作失败，氏族成员已满		审批成员时氏族已满
1024	该副本处于保护中，无法入侵		入侵正在被入侵副本提示
1025	您的发言太频繁，请稍后再试		聊天5秒内多次发言提示
1026	没有队伍		没有队伍在队伍频道发言提示
1027	没有氏族		没有氏族在氏族频道发言提示
1028	该氏族名称已存在		创建氏族名已存在
1029	该氏族名称可用		创建氏族名可用
1030	您输入的私聊对象不存在		私聊对象不存在
1031	您的背包已满，请清理后再领取		邮件领取提背包满提示
1032	等级不足，无法创建氏族		创建氏族等级不足提示
1033	金钱不足，无法创建氏族		创建氏族金钱不足提示
1034	祝福等级已满，无法祝福		对祝福等级满物品祝福时的提示
1035	装备品级已经最高，无法进阶		对4品装备进阶时的提示
1036	该物品不能祝福		对禁止物品祝福提示
1037	该物品不能进阶		对禁止物品进阶提示
1038	该物品不能镶嵌		对禁止物品镶嵌提示
